axe_numero,axe_nom,axe_theme,axe_engagement,cible_code,cible_libelle,cible_explication
1,Sobriété,Environnement,S'engager à optimiser les outils numériques pour limiter leurs impacts et consommation,1.1,En intégrant le cycle de vie complet des équipements et logiciels pour le mettre au service de la transition énergétique,"Savoir d'où vient notre matériel, combien de temps il sert, et où il finit."
1,Sobriété,Environnement,S'engager à optimiser les outils numériques pour limiter leurs impacts et consommation,1.2,"En allongeant la durée d'usage des équipements, même au-delà de leur amortissement comptable","Garder le matériel plus longtemps, même une fois qu'il est payé."
1,Sobriété,Environnement,S'engager à optimiser les outils numériques pour limiter leurs impacts et consommation,1.3,"En éco-concevant les services numériques, et en choisissant des technologies qui contribuent aux Objectifs de développement durable (ODD)",Faire des sites et des applications qui consomment peu et servent vraiment.
1,Sobriété,Environnement,S'engager à optimiser les outils numériques pour limiter leurs impacts et consommation,1.4,"En favorisant des usages et des pratiques limitant les consommations de matériels, de ressources, d’énergies et de consommables","Prendre des habitudes qui économisent le matériel, l'énergie et les fournitures."
1,Sobriété,Environnement,S'engager à optimiser les outils numériques pour limiter leurs impacts et consommation,1.5,En considérant nos déchets comme une ressource et leur traitement comme une source d’emplois participant au développement de l’économie circulaire.,"Ne plus jeter : réparer, réemployer, recycler."
1,Sobriété,Environnement,S'engager à optimiser les outils numériques pour limiter leurs impacts et consommation,1.6,En privilégiant et en favorisant l’utilisation de sources d’énergies renouvelables.,Faire tourner le numérique avec de l'électricité renouvelable.
1,Sobriété,Environnement,S'engager à optimiser les outils numériques pour limiter leurs impacts et consommation,1.7,En favorisant l'utilisation d'IA lorsque nécessaire uniquement et en privilégiant des IA frugales,"N'utiliser l'IA que si elle sert vraiment, et choisir la moins gourmande."
2,Inclusion,Accessibilité,"S'engager à développer des services numériques accessibles à toutes et tous, inclusifs et durables",2.1,En généralisant une démarche d’achats responsables avec l’adoption de clauses sociétales et environnementales.,"Acheter en regardant l'impact social et écologique, pas seulement le prix."
2,Inclusion,Accessibilité,"S'engager à développer des services numériques accessibles à toutes et tous, inclusifs et durables",2.2,En permettant des applications accessibles à tous - en mesurant le niveau de conformité RGAA et en accompagnant les entreprises du territoire à se conformer à la règlementation,"Faire des sites utilisables par les personnes handicapées, et le vérifier."
2,Inclusion,Accessibilité,"S'engager à développer des services numériques accessibles à toutes et tous, inclusifs et durables",2.3,"En déployant les applications autour des 3 U : Utiles, Utilisables, Utilisées pour en simplifier l’usage en intégrant l’accessibilité universelle pour réussir l’e-inclusion de tous","Faire des outils simples, faciles à utiliser, et vraiment utilisés."
2,Inclusion,Accessibilité,"S'engager à développer des services numériques accessibles à toutes et tous, inclusifs et durables",2.4,En associant l’utilisateur à la conception pour éviter des outils surdimensionnés et améliorer progressivement le niveau de conformité des services en ligne.,Demander leur avis aux utilisateurs avant de construire.
3,RSE,Éthique,S'engager pour des pratiques numériques éthiques et responsables,3.1,En développant des usages raisonnés des données et services dans une démarche éthique vis-à-vis des impacts sur l’environnement et les populations.,"Utiliser les données avec bon sens, en pensant aux gens et à la planète."
3,RSE,Éthique,S'engager pour des pratiques numériques éthiques et responsables,3.2,En luttant contre les pratiques trompeuses et présence de dark pattern dans les sites internet et en permettant de se conformer à la réglementation,Ne pas piéger l'utilisateur avec des écrans qui l'induisent en erreur.
3,RSE,Éthique,S'engager pour des pratiques numériques éthiques et responsables,3.3,"En ne collectant que les données utiles et nécessaires au service des utilisateurs, afin de limiter les risques en matière de vie privée et impacts environnementaux en conformité avec le Règlement Général sur la Protection des Données (RGPD).",Ne demander que les données vraiment nécessaires.
3,RSE,Éthique,S'engager pour des pratiques numériques éthiques et responsables,3.4,En favorisant la diversité des recrutements des métiers du numérique,Recruter des profils variés dans les métiers du numérique.
